2025-04-15 10:05:15 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:15 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:15 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:16 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:16 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:16 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:16 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:17 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:17 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:17 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:17 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:18 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:18 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:18 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:19 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:19 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:19 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:19 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:20 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:20 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:20 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:21 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:21 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:21 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:21 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:22 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:22 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:22 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:22 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:23 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:23 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:23 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:23 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:24 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:24 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:24 [12764] INFO  : Stop Iperf3 Client
